,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2699,379c9c7b-a767-4d44-b470-7373cd7e7280,RANKED_SOLO_5x5,SILVER,III,7sr5uabi9P0yF6RmBW_IsTW21eYrfr2rkiH0cMGXewDLGsOk,Icelonk1,73.0,58.0,68.0,False,False,False,False
2700,08e9552d-5c98-4ff2-b56a-4a9d0c45330c,RANKED_SOLO_5x5,SILVER,III,RrY0YPvDT5vAIiYg-TvKHb71rwb4qBUZLI05CESQ0woYBu0L,DarkPhoenix602,14.0,258.0,242.0,False,False,False,False
2701,d766dd06-a662-4836-8eae-6678b23832e4,RANKED_SOLO_5x5,SILVER,III,9K8Cqn_CECu9y0Ah5N0kYvJpxuSGzf-_YbWpi7tcJ9nQL0of,1203365LOL,9.0,71.0,87.0,False,False,False,False
2702,21f61f14-381e-491a-8ea7-848095e7f1b1,RANKED_SOLO_5x5,SILVER,III,7fi2BzqiHts2-Na_-HoMWpY5Y5qdFCYTChaxd5wov4P-uhM7,THISTANKTHAT,0.0,58.0,52.0,False,False,False,False
2703,123e7a71-09e9-40e0-b455-34adca2f8528,RANKED_SOLO_5x5,SILVER,III,fHtjj_KnKT9rL8seaLGqERQA5XSDxsAC8-Df-kSaHbgnL3VV,TheOnnomise,0.0,79.0,74.0,False,False,False,False
2704,df1dbad9-5add-47dd-abb6-86ff0c0f3ff6,RANKED_SOLO_5x5,SILVER,III,XGJL5Xbqb3CZauTPFUTJU2EOJvfGE5XWIb-rOlJOhOX9fSZy,Yukinera,58.0,58.0,59.0,False,False,False,False
2705,86478f3d-e62c-4fa4-a41c-64f0f0fd30c6,RANKED_SOLO_5x5,SILVER,III,qDeFPSgBMz8A9WI7lwqdRqctbSVuVyfwppUBWN0eYQiuHEE1,Big Nik Digga,90.0,77.0,73.0,False,False,False,True
2706,d5219ff6-9a7d-4569-8b6d-9e2c179cb7ad,RANKED_SOLO_5x5,SILVER,III,kdkvfha6oH662PTYcnCxs7JyXZdcWR1DE0XYiwkZmPppin3p,iisaltie,75.0,137.0,169.0,False,False,False,False
2707,a34474d3-cfa3-44c5-a856-1ddc0f77de48,RANKED_SOLO_5x5,SILVER,III,DsDJ-fiCRlhYpIVrrWk57aLCst2yiDeh-FCwKhvH1gcELyM0,chaussette24,42.0,179.0,179.0,False,False,False,False
2708,5a5e8395-7a5b-4d7d-ae58-8ae60261b778,RANKED_SOLO_5x5,SILVER,III,QO_d1J9Mh-PXVZSsLX7s1o2qN5cRuwrDXnuZJQvAUkDXYlpo,Koogang,58.0,233.0,230.0,False,False,False,False
2709,84729032-72e6-4f64-810c-be6c5ca2bd9a,RANKED_SOLO_5x5,SILVER,III,gS05eRHFt2bogMJ9d-Zsn7XvNgRBtGWNbc2PWN-_rn57vfeE,DuragKid,100.0,180.0,197.0,False,False,False,True
2710,426f04be-aee2-44f2-8333-6fecc8241fa1,RANKED_SOLO_5x5,SILVER,III,3McmACbtUer-SrfNlnYpImBzJ0JfImMspBR7TD2i-CyFOuW9,xavierthegoat,38.0,183.0,160.0,False,False,False,False
2711,19d2d99d-89f9-4d76-833e-19547765e0e5,RANKED_SOLO_5x5,SILVER,III,N3G_18FPiYvSodnVvNlfasZ7PjRkCh5us8ARJ-0kp3Pt4uG6,Once Joestar,67.0,81.0,81.0,False,False,False,False
2712,c704a396-927c-4ca0-a49f-b9a26942eab3,RANKED_SOLO_5x5,SILVER,III,7v_NcF2gWPyTUCCn83Kmv4yF_h_d-_HAAG6s2yaFP_gjoLqO,teddythicc,12.0,216.0,231.0,False,False,False,False
